job_title,company,country,city,salary_min,salary_max,currency,remote_type,experience_level,required_skills,posted_date,source,job_description
AI Engineer,Robert Half,United States,Oklahoma City,170000.0,200000.0,USD,Unspecified,Senior,RAG,2026-07-15,Adzuna,"Job Description Job Description An Oklahoma City based client is seeking an innovative Senior AI Engineer to help design and deliver AI-powered solutions that proactively solve business challenges. In this role, you will be responsible for building, deploying, and supporting intelligent systems such as AI agents, copilots, retrieval-augmented generation (RAG) systems, and machine learning solutions. The team is composed of professionals across software engineering, quality assurance, data engin…"
AI Engineer,YIELD SOLUTIONS GROUP LLC,United States,Englewood,151000.0,151000.0,USD,Onsite,Lead,,2026-07-26,Adzuna,"Job Description Job Description AI Engineer Location: Centennial, CO (In-Office) Company: Yield Solutions Group Reports to: AI / Data Lead The Opportunity Yield Solutions Group (dba RefiJet) is one of the country's largest auto-refinance BPOs, processing more than 15,000 applications per month across a network of 30 lending partners. We operate at the intersection of financial services, technology, and customer experience, and AI is central to how we plan to scale all three. This role sits insi…"
AI Engineer (Cloud/Engineering Focus),Danta Technologies,United States,Alpharetta,105000.0,105000.0,USD,Onsite,Mid-level,,2026-07-26,Adzuna,"Job Description Job Description We are looking for AI Engineers with a strong Software Engineering background , Traditional Data Scientists will not be considered for this position. Job Title: AI Engineer (Cloud/Engineering Focus) Location - Dallas, TX / Basking Ridge, NJ / Atlanta, GA (Onsite position) Long term position Pay rate - $45/hr on W2/Danta Technologies payroll. We cannot sponsor for this position. Looking for independent candidates. Looking for a strong individual contributor who ca…"
Lead AI Engineer,Capital One,United States,Pimmit,160000.0,160000.0,USD,Unspecified,Lead,,2026-07-27,Adzuna,"Lead AI Engineer At Capital One, we are creating responsible and reliable AI systems, changing banking for good. For years, Capital One has been an industry leader in using machine learning to create real-time, personalized customer experiences. Our investments in technology infrastructure and world-class talent — along with our deep experience in machine learning — position us to be at the forefront of enterprises leveraging AI. From informing customers about unusual charges to answering their…"
Lead AI Engineer,Capital One,United States,Prince,168000.0,168000.0,USD,Unspecified,Lead,,2026-07-27,Adzuna,"Lead AI Engineer At Capital One, we are creating responsible and reliable AI systems, changing banking for good. For years, Capital One has been an industry leader in using machine learning to create real-time, personalized customer experiences. Our investments in technology infrastructure and world-class talent — along with our deep experience in machine learning — position us to be at the forefront of enterprises leveraging AI. From informing customers about unusual charges to answering their…"
Distinguished AI Engineer,Capital One,United States,Prince,205000.0,205000.0,USD,Unspecified,Mid-level,,2026-07-27,Adzuna,"Distinguished AI Engineer Overview: At Capital One, we are creating responsible and reliable AI systems, changing banking for good. For years, Capital One has been an industry leader in using machine learning to create real-time, personalized customer experiences. Our investments in technology infrastructure and world-class talent — along with our deep experience in machine learning — position us to be at the forefront of enterprises leveraging AI. From informing customers about unusual charges…"
Distinguished AI Engineer,Capital One,United States,Pimmit,191000.0,191000.0,USD,Unspecified,Mid-level,,2026-07-27,Adzuna,"Distinguished AI Engineer At Capital One, we are creating responsible and reliable AI systems, changing banking for good. For years, Capital One has been an industry leader in using machine learning to create real-time, personalized customer experiences. Our investments in technology infrastructure and world-class talent — along with our deep experience in machine learning — position us to be at the forefront of enterprises leveraging AI. From informing customers about unusual charges to answer…"
Lead AI Engineer (AI Foundations),Capital One,United States,Pimmit,159000.0,159000.0,USD,Unspecified,Lead,,2026-07-27,Adzuna,"Lead AI Engineer (AI Foundations) Overview At Capital One, we are creating responsible and reliable AI systems, changing banking for good. For years, Capital One has been an industry leader in using machine learning to create real-time, personalized customer experiences. Our investments in technology infrastructure and world-class talent — along with our deep experience in machine learning — position us to be at the forefront of enterprises leveraging AI. From informing customers about unusual …"
Lead AI Engineer (AI Foundations),Capital One,United States,Prince,164000.0,164000.0,USD,Unspecified,Lead,,2026-07-27,Adzuna,"Lead AI Engineer (AI Foundations) Overview At Capital One, we are creating responsible and reliable AI systems, changing banking for good. For years, Capital One has been an industry leader in using machine learning to create real-time, personalized customer experiences. Our investments in technology infrastructure and world-class talent — along with our deep experience in machine learning — position us to be at the forefront of enterprises leveraging AI. From informing customers about unusual …"
Senior Distinguished AI Engineer,Capital One,United States,Prince,214000.0,214000.0,USD,Unspecified,Senior,,2026-07-27,Adzuna,"Senior Distinguished AI Engineer At Capital One, we are creating responsible and reliable AI systems, changing banking for good. For years, Capital One has been an industry leader in using machine learning to create real-time, personalized customer experiences. Our investments in technology infrastructure and world-class talent — along with our deep experience in machine learning — position us to be at the forefront of enterprises leveraging AI. From informing customers about unusual charges to…"
