job_title,company,country,city,salary_min,salary_max,currency,posted_date,contract_type,category,job_description,source,search_term,location_display
AI Engineer,"Judge Group, Inc.",United States,West Des Moines,174085.48,174085.48,USD,2026-03-27T10:11:24Z,,IT Jobs,"Location: West Des Moines, IA Salary: $100,000.00 USD Annually - $120,000.00 USD Annually Description: Our client is currently seeking a AI Engineer This job will have the following responsibilities: Looking for an experienced AI Engineer (6-8 years) to design, develop, and deploy cutting-edge AI/ML solutions. The ideal candidate will have strong experience in machine learning, deep learning, data engineering, and building scalable AI systems for real-world applications. Responsibilities: Build…",Adzuna,AI Engineer,"US, Iowa, Polk County, West Des Moines"
AI Engineer,"Judge Group, Inc.",United States,Hood College,180651.03,180651.03,USD,2026-03-27T10:13:33Z,,IT Jobs,"Location: Frederick, MD Salary: $105,000.00 USD Annually - $115,000.00 USD Annually Description: Job Details: Job Role: AI Engineer Location: Frederick, MD Duration: Full-Time Key Responsibilities 1. GenAI Development & LLM Engineering Build and deploy LLM-based applications leveraging frameworks like LangChain. Develop RAG pipelines using vector databases for enterprise knowledge retrieval. Develop data pipelines to create structured and unstructured datasets for LLM and agent workflows. Optim…",Adzuna,AI Engineer,"US, Maryland, Frederick County, Hood College"
AI Engineer,"Judge Group, Inc.",United States,Plano,181934.94,181934.94,USD,2026-03-27T10:11:54Z,,IT Jobs,"Location: Plano, TX Salary: $160,000.00 USD Annually - $185,000.00 USD Annually Description: Location: Plano, TX or Camas, WA The Opportunity We are seeking an AI Engineer to design, build, and optimize production-grade generative AI solutions. In this role, you'll collaborate closely with AI leaders, ML engineers, and platform teams to deliver scalable systems powered by LLMs, GPU-accelerated frameworks, and cloud-native microservices. You'll ensure these solutions are secure, high-performing,…",Adzuna,AI Engineer,"US, Texas, Collin County, Plano"
AI Engineer,"Cayuse Holdings, LLC",United States,US,139871.34,139871.34,USD,2026-03-27T10:10:27Z,,IT Jobs,"Overview Job Title: AI Engineer Location: Remote Type: Corp to Corp Start Date: ASAP Pay Rate: $28-$30 per hour Contract Length: 12 months - potential conversion to FTE Ensure the AI models powering the platform remain accurate, aligned, and continuously improved to meet business and compliance requirements, while leveraging data science methods to drive insights, performance improvements, and informed decision-making. Responsibilities Conduct monthly fine-tuning of AI models based on customer …",Adzuna,AI Engineer,US
AI Engineer,"Applied Business Software, Inc.",United States,San Mateo,197890.83,197890.83,USD,2026-03-27T10:09:56Z,,IT Jobs,"About Applied Business Software, Inc., Applied Business Software, Inc., (ABS), the maker of The Mortgage Office , is the industry leader in private lending and loan management technology. Since 1978, our software has powered thousands of lenders, including private money firms, municipalities, CDFIs, Tribal Nations, universities, franchisors, third-party servicers and other non-bank lenders, helping them streamline, automate, and scale their lending operations with confidence. About the role We …",Adzuna,AI Engineer,"US, California, San Mateo County, San Mateo"
AI Engineer,Software Guidance & Assistance,United States,Elkins Park,121928.28,121928.28,USD,2026-03-27T10:10:15Z,,IT Jobs,"Software Guidance & Assistance, Inc., (SGA), is searching for an AI Engineer for a contract assignment with one of our premier Financial Services clients in Philadelphia, PA . Responsibilities : MCP Server Platform (30%) Deploy, configure, and manage MCP servers (tools/providers, resource access, authentication/secrets, observability). Integrate MCP with internal services and APIs while ensuring compliance with GovCloud security standards. Conversational AI (10%) Build Retrieval-Augmented Gener…",Adzuna,AI Engineer,"US, Pennsylvania, Montgomery County, Elkins Park"
AI Engineer,Booz Allen Hamilton,United States,El Segundo,120760.19,120760.19,USD,2026-03-27T10:10:05Z,,Engineering Jobs,"Job Number: R0236323 AI Engineer The Opportunity: Design and implement effective AI solution architecture utilizing approaches of various AI technologies and met hods to address clients' business problems and needs while complying with the company's strategies and business goals. Apply advanced technical expertise and full industry knowledge. Develop innovative solutions to complex problems. Work without considerable direction. Mentor and supervise team members, as needed. You Have: 2 years of …",Adzuna,AI Engineer,"US, California, Los Angeles County, El Segundo"
AI Engineer,Booz Allen Hamilton,United States,Mount Rainier,125797.14,125797.14,USD,2026-03-27T10:10:05Z,,Engineering Jobs,"Job Number: R0236324 AI Engineer The Opportunity: Design and implement effective AI solution architecture utilizing approaches of various AI technologies and met hods to address clients' business problems and needs while complying with the company's strategies and business goals. Apply advanced technical expertise and full industry knowledge. Develop innovative solutions to complex problems. Work without considerable direction. Mentor and supervise team members, as needed. You Have: 2 years of …",Adzuna,AI Engineer,"US, Maryland, Prince George's County, Mount Rainier"
AI Engineer,Jobot,United States,Hyde Park,174496.2,174496.2,USD,2026-03-27T10:11:43Z,,IT Jobs,"RAG - Vector Databases - Cloud - AI/ML This Jobot Job is hosted by: Chuck Wirtz Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $175,000 - $200,000 per year A bit about us: We are a rapidly-growing and well-funded women-lead AI start-up that innovates our client's projects from concept to delivery. Why join us? We work with highly recognizable enterprise clients to deliver a fully customized solution. Our technology solution is best-in-class …",Adzuna,AI Engineer,"US, Ohio, Hamilton County, Hyde Park"
AI Engineer,Jobot,United States,Schiller Park,174929.08,174929.08,USD,2026-03-27T10:10:42Z,,IT Jobs,"RAG - Vector Databases - Cloud - AI/ML This Jobot Job is hosted by: Chuck Wirtz Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $175,000 - $200,000 per year A bit about us: We are a rapidly-growing and well-funded women-lead AI start-up that innovates our client's projects from concept to delivery. Why join us? We work with highly recognizable enterprise clients to deliver a fully customized solution. Our technology solution is best-in-class …",Adzuna,AI Engineer,"US, Illinois, Cook County, Schiller Park"
